iter	Passed	Remaining
399	35109	51260
400	35206	51185
401	35300	51106
402	35393	51026
403	35494	50957
404	35583	50871
405	35679	50795
406	35770	50710
407	35878	50652
408	35973	50573
409	36054	50475
410	36127	50367
411	36199	50257
412	36279	50159
413	36357	50057
414	36450	49976
415	36542	49894
416	36626	49802
417	36719	49720
418	36802	49626
419	36886	49533
420	36973	49444
421	37052	49344
422	37138	49254
423	37236	49179
424	37320	49087
425	37404	48995
426	37502	48920
427	37598	48843
428	37686	48755
429	37761	48651
430	37839	48550
431	37924	48459
432	38004	48360
433	38107	48292
434	38192	48201
435	38282	48116
436	38357	48013
437	38438	47916
438	38525	47828
439	38615	47743
440	38710	47664
441	38800	47579
442	38880	47481
443	38980	47408
444	39063	47315
445	39153	47229
446	39256	47159
447	39341	47069
448	39422	46972
449	39491	46863
450	39580	46777
451	39682	46705
452	39775	46624
453	39876	46552
454	39956	46454
455	40055	46379
456	40136	46284
457	40223	46195
458	40294	46088
459	40398	46018
460	40472	45916
461	40560	45828
462	40667	45761
463	40732	45648
464	40811	45550
465	40908	45472
466	41010	45401
467	41089	45303
468	41179	45217
469	41284	45149
470	41415	45108
471	41515	45034
472	41599	44941
473	41667	44832
474	41758	44747
475	41862	44676
476	41958	44597
477	42047	44510
478	42126	44413
479	42236	44348
480	42320	44256
481	42406	44166
482	42483	44066
483	42578	43985
484	42648	43879
485	42727	43782
486	42815	43694
487	42906	43609
488	42995	43523
489	43087	43439
490	43193	43368
491	43283	43283
492	43381	43205
493	43468	43116
494	43556	43028
495	43634	42930
496	43723	42843
497	43824	42768
498	43897	42666
499	43980	42572
500	44075	42491
501	44169	42409
502	44244	42309
503	44337	42226
504	44432	42144
505	44514	42051
506	44625	41985
507	44733	41915
508	44830	41835
509	44918	41748
510	45006	41659
511	45092	41569
512	45181	41482
513	45273	41397
514	45362	41310
515	45438	41211
516	45517	41115
517	45609	41031
518	45701	40946
519	45793	40861
520	45871	40764
521	45948	40667
522	46037	40579
523	46121	40488
524	46212	40402
525	46296	40311
526	46386	40224
527	46472	40135
528	46560	40047
529	46650	39960
530	46730	39865
531	46820	39780
532	46909	39692
533	46998	39605
534	47073	39506
535	47148	39407
536	47239	39321
537	47330	39236
538	47405	39138
539	47505	39060
540	47598	38976
541	47678	38881
542	47763	38791
543	47857	38707
544	47925	38603
545	48005	38509
546	48102	38429
547	48179	38332
548	48267	38244
549	48348	38151
550	48430	38059
551	48513	37966
552	48605	37882
553	48684	37787
554	48756	37687
555	48846	37601
556	48930	37510
557	49009	37415
558	49085	37318
559	49171	37229
560	49252	37136
561	49322	37035
562	49407	36945
563	49485	36851
564	49585	36772
565	49692	36698
566	49771	36604
567	49852	36511
568	49931	36417
569	50018	36329
570	50116	36248
571	50196	36155
572	50286	36069
573	50367	35976
574	50454	35888
575	50534	35794
576	50619	35705
577	50723	35629
578	50808	35539
579	50904	35457
580	50975	35358
581	51078	35280
582	51159	35188
583	51246	35100
584	51324	35006
585	51410	34917
586	51500	34831
587	51585	34741
588	51666	34648
589	51736	34549
590	51832	34466
591	51909	34372
592	51984	34276
593	52068	34186
594	52162	34102
595	52257	34019
596	52362	33943
597	52441	33850
598	52524	33759
599	52615	33673
600	52689	33577
601	52761	33479
602	52862	33400
603	52956	33317
604	53031	33221
605	53117	33132
606	53205	33045
607	53293	32957
608	53393	32877
609	53482	32791
610	53569	32702
611	53662	32618
612	53749	32530
613	53827	32436
614	53927	32356
615	54007	32264
616	54083	32169
617	54196	32097
618	54282	32008
619	54363	31916
620	54434	31818
621	54522	31731
622	54612	31645
623	54705	31560
624	54796	31474
625	54883	31387
626	54965	31296
627	55044	31203
628	55126	31112
629	55206	31020
630	55304	30939
631	55407	30859
632	55479	30763
633	55564	30674
634	55665	30594
635	55775	30518
636	55868	30434
637	55977	30357
638	56059	30267
639	56172	30192
640	56254	30102
641	56351	30019
642	56444	29933
643	56550	29856
644	56628	29763
645	56727	29680
646	56806	29588
647	56899	29503
648	56972	29408
649	57066	29323
650	57155	29236
651	57241	29147
652	57326	29058
653	57445	28986
654	57533	28898
655	57609	28804
656	57700	28718
657	57781	28627
658	57873	28541
659	57944	28445
660	58031	28357
661	58128	28274
662	58226	28190
663	58313	28102
664	58392	28010
665	58477	27921
666	58568	27835
667	58665	27752
668	58748	27661
669	58843	27577
670	58913	27481
671	59013	27398
672	59085	27304
673	59188	27223
674	59273	27133
675	59364	27047
676	59437	26952
677	59531	26868
678	59634	26787
679	59737	26706
680	59800	26607
681	59883	26517
682	59964	26426
683	60050	26337
